boolQ_sae,,,,,,
Batch,Val Accuracy,Val CI Lower,Val CI Upper,Test Accuracy,Test CI Lower,Test CI Upper
10,0.645,0.58,0.7051249999999999,0.61,0.5,0.71
20,0.645,0.58,0.715,0.61,0.52,0.71
30,0.645,0.575,0.715,0.61,0.51,0.71
40,0.645,0.575,0.7101249999999999,0.61,0.52,0.6902499999999997
50,0.645,0.575,0.705,0.61,0.51,0.71
60,0.645,0.575,0.715,0.61,0.52,0.7
70,0.645,0.58,0.715,0.61,0.52,0.7
80,0.645,0.585,0.71,0.61,0.52,0.7
90,0.645,0.58,0.71,0.61,0.51,0.7
100,0.645,0.585,0.705,0.61,0.51975,0.7
110,0.645,0.575,0.71,0.61,0.50975,0.7
120,0.645,0.5798749999999999,0.71,0.61,0.52,0.7
130,0.645,0.58,0.71,0.61,0.51,0.7
140,0.645,0.58,0.71,0.61,0.51,0.7
150,0.645,0.585,0.71,0.61,0.52,0.71
160,0.645,0.58,0.71,0.61,0.51,0.71
170,0.645,0.58,0.7051249999999999,0.61,0.51,0.7002499999999997
180,0.645,0.57,0.71,0.61,0.52,0.7
190,0.645,0.58,0.71,0.61,0.51,0.71
200,0.645,0.58,0.71,0.61,0.52,0.7
210,0.645,0.575,0.71,0.61,0.51975,0.71
220,0.645,0.58,0.71,0.61,0.51,0.7002499999999997
boolQ_aave,,,,,,
Batch,Val Accuracy,Val CI Lower,Val CI Upper,Test Accuracy,Test CI Lower,Test CI Upper
10,0.6134020618556701,0.5462628865979381,0.6804123711340206,0.6020408163265306,0.5,0.6938775510204082
20,0.6237113402061856,0.5515463917525774,0.6855670103092784,0.5816326530612245,0.47959183673469385,0.673469387755102
30,0.6134020618556701,0.5514175257731959,0.6855670103092784,0.5714285714285714,0.47959183673469385,0.673469387755102
40,0.6185567010309279,0.5567010309278351,0.6907216494845361,0.5816326530612245,0.4897959183673469,0.673469387755102
50,0.6134020618556701,0.5463917525773195,0.6804123711340206,0.6020408163265306,0.5,0.7040816326530612
60,0.6134020618556701,0.5514175257731959,0.680541237113402,0.6020408163265306,0.5,0.7040816326530612
70,0.6185567010309279,0.5515463917525774,0.6855670103092784,0.5816326530612245,0.47959183673469385,0.6836734693877551
80,0.6185567010309279,0.5515463917525774,0.6855670103092784,0.5816326530612245,0.4897959183673469,0.673469387755102
90,0.6134020618556701,0.5412371134020618,0.6855670103092784,0.5816326530612245,0.4895408163265306,0.673469387755102
100,0.6134020618556701,0.5412371134020618,0.6804123711340206,0.6020408163265306,0.5,0.6938775510204082
110,0.6134020618556701,0.5412371134020618,0.6804123711340206,0.5816326530612245,0.47959183673469385,0.6836734693877551
120,0.6185567010309279,0.5515463917525774,0.6855670103092784,0.6020408163265306,0.5102040816326531,0.6938775510204082
130,0.6134020618556701,0.5463917525773195,0.6804123711340206,0.5918367346938775,0.4897959183673469,0.6938775510204082
140,0.6185567010309279,0.5463917525773195,0.6855670103092784,0.5918367346938775,0.5,0.6836734693877551
150,0.6134020618556701,0.5463917525773195,0.6804123711340206,0.6020408163265306,0.5102040816326531,0.6938775510204082
160,0.6082474226804123,0.5309278350515464,0.6752577319587629,0.6020408163265306,0.5102040816326531,0.7040816326530612
170,0.6237113402061856,0.5565721649484536,0.6907216494845361,0.5816326530612245,0.4897959183673469,0.673469387755102
180,0.6082474226804123,0.5309278350515464,0.6752577319587629,0.6020408163265306,0.5102040816326531,0.7040816326530612
190,0.6030927835051546,0.5360824742268041,0.6701030927835051,0.6020408163265306,0.5102040816326531,0.6938775510204082
200,0.6030927835051546,0.5360824742268041,0.6752577319587629,0.5612244897959183,0.46913265306122454,0.6530612244897959
210,0.6082474226804123,0.5412371134020618,0.6701030927835051,0.6122448979591837,0.5204081632653061,0.7040816326530612
sst2_sae,,,,,,
Batch,Val Accuracy,Val CI Lower,Val CI Upper,Test Accuracy,Test CI Lower,Test CI Upper
10,0.48,0.41,0.545,0.5,0.41,0.6
20,0.575,0.509875,0.645,0.5,0.4,0.6
30,0.585,0.515,0.655,0.5,0.4,0.6
40,0.575,0.51,0.64,0.5,0.4,0.6
50,0.53,0.465,0.595,0.52,0.42,0.61
60,0.565,0.5,0.63,0.53,0.44,0.6202499999999997
70,0.57,0.505,0.64,0.54,0.44,0.63
80,0.58,0.514875,0.64,0.58,0.48,0.67
90,0.61,0.54,0.675,0.54,0.44,0.64
100,0.62,0.55,0.685125,0.62,0.52,0.71
110,0.61,0.55,0.68,0.55,0.45,0.65
120,0.66,0.595,0.725,0.63,0.53,0.72
130,0.715,0.655,0.77,0.71,0.61,0.79
140,0.69,0.63,0.755,0.65,0.55,0.74
150,0.775,0.715,0.83,0.71,0.62,0.79
160,0.78,0.72,0.8301249999999999,0.69,0.6,0.78
170,0.775,0.715,0.83,0.69,0.6,0.78
180,0.775,0.72,0.83,0.71,0.62,0.8
190,0.775,0.71,0.835,0.75,0.66,0.83
200,0.825,0.775,0.875,0.74,0.65,0.82
210,0.81,0.755,0.8601249999999999,0.73,0.64,0.82
220,0.835,0.784875,0.88,0.73,0.64,0.82
sst2_aave,,,,,,
Batch,Val Accuracy,Val CI Lower,Val CI Upper,Test Accuracy,Test CI Lower,Test CI Upper
10,0.7939698492462312,0.7386934673366834,0.8492462311557789,0.8571428571428571,0.7857142857142857,0.9183673469387755
20,0.8090452261306532,0.7537688442211056,0.864321608040201,0.8163265306122449,0.7346938775510204,0.8877551020408163
30,0.8241206030150754,0.7688442211055276,0.8793969849246231,0.8061224489795918,0.7244897959183674,0.8775510204081632
40,0.8190954773869347,0.7638190954773869,0.8743718592964824,0.8061224489795918,0.7244897959183674,0.8775510204081632
50,0.8291457286432161,0.7738693467336684,0.8793969849246231,0.8571428571428571,0.7857142857142857,0.9183673469387755
60,0.8190954773869347,0.7638190954773869,0.8743718592964824,0.8061224489795918,0.7244897959183674,0.8775510204081632
70,0.8140703517587939,0.7587939698492462,0.8693467336683417,0.8673469387755102,0.8058673469387755,0.9285714285714286
80,0.7939698492462312,0.7386934673366834,0.8492462311557789,0.7755102040816326,0.6936224489795918,0.8571428571428571
90,0.8241206030150754,0.7688442211055276,0.8743718592964824,0.8571428571428571,0.7857142857142857,0.9285714285714286
100,0.8140703517587939,0.7587939698492462,0.8693467336683417,0.7959183673469388,0.7142857142857143,0.8775510204081632
110,0.8190954773869347,0.7638190954773869,0.8693467336683417,0.8775510204081632,0.8163265306122449,0.9387755102040817
120,0.8190954773869347,0.7638190954773869,0.8693467336683417,0.8061224489795918,0.7244897959183674,0.8877551020408163
130,0.8140703517587939,0.7587939698492462,0.864321608040201,0.8673469387755102,0.7959183673469388,0.9285714285714286
140,0.8241206030150754,0.7688442211055276,0.8743718592964824,0.7959183673469388,0.7142857142857143,0.8673469387755102
150,0.8341708542713567,0.7839195979899497,0.8844221105527639,0.8571428571428571,0.7857142857142857,0.9285714285714286
160,0.8090452261306532,0.7537688442211056,0.8592964824120602,0.8061224489795918,0.7244897959183674,0.8877551020408163
170,0.8090452261306532,0.7537688442211056,0.864321608040201,0.8367346938775511,0.7551020408163265,0.9081632653061225
180,0.8140703517587939,0.7638190954773869,0.864321608040201,0.8163265306122449,0.7448979591836735,0.8877551020408163
190,0.8090452261306532,0.7537688442211056,0.8592964824120602,0.8367346938775511,0.7653061224489796,0.9081632653061225
200,0.7989949748743719,0.7437185929648241,0.8542713567839196,0.826530612244898,0.7551020408163265,0.8979591836734694
210,0.7989949748743719,0.7487437185929648,0.8492462311557789,0.826530612244898,0.7551020408163265,0.8979591836734694
220,0.7989949748743719,0.7435929648241206,0.8542713567839196,0.826530612244898,0.7548469387755101,0.8880102040816324
multirc_sae,,,,,,
Batch,Val Accuracy,Val F1,Val CI Lower,Val CI Upper,Test Accuracy,Test F1,Test CI Lower,Test CI Upper
10,0.6054421768707483,0.5738917487130791,0.5476190476190477,0.6632653061224489,0.6153846153846154,0.5630252100840336,0.46153846153846156,0.75
20,0.5816326530612245,0.5815890867437259,0.5238095238095238,0.6360544217687075,0.5576923076923077,0.5282051282051282,0.4230769230769231,0.6923076923076923
30,0.5850340136054422,0.5850340136054422,0.5238095238095238,0.6428571428571429,0.5576923076923077,0.5282051282051282,0.44182692307692306,0.6923076923076923
40,0.5918367346938775,0.5869432866576125,0.5374149659863946,0.6496598639455783,0.5961538461538461,0.5339308578745199,0.46153846153846156,0.7307692307692307
50,0.5680272108843537,0.5677821894498014,0.5102040816326531,0.6224489795918368,0.5769230769230769,0.553125,0.4423076923076923,0.7115384615384616
60,0.5986394557823129,0.5971293199554069,0.54421768707483,0.6565476190476189,0.6153846153846154,0.5630252100840336,0.48028846153846155,0.75
70,0.6054421768707483,0.6042701322812718,0.5510204081632653,0.6632653061224489,0.6153846153846154,0.5630252100840336,0.4807692307692308,0.75
80,0.5918367346938775,0.5899390952624483,0.5374149659863946,0.6462585034013606,0.5961538461538461,0.5339308578745199,0.46153846153846156,0.7307692307692307
90,0.5952380952380952,0.5946706829635637,0.5374149659863946,0.6530612244897959,0.5769230769230769,0.5326797385620915,0.4423076923076923,0.7115384615384616
100,0.5952380952380952,0.5931623931623932,0.5408163265306123,0.6496598639455783,0.5961538461538461,0.5339308578745199,0.46153846153846156,0.7307692307692307
110,0.5714285714285714,0.57125,0.516921768707483,0.6292517006802721,0.5576923076923077,0.5282051282051282,0.4230769230769231,0.6923076923076923
120,0.5918367346938775,0.5899390952624483,0.5340136054421769,0.6462585034013606,0.6153846153846154,0.5630252100840336,0.48028846153846155,0.7312499999999995
130,0.5714285714285714,0.5711110081971009,0.5136054421768708,0.6258503401360545,0.5576923076923077,0.5282051282051282,0.42259615384615384,0.6923076923076923
140,0.5816326530612245,0.5810461681051962,0.5238095238095238,0.6394557823129252,0.6153846153846154,0.5630252100840336,0.4807692307692308,0.7307692307692307
150,0.6190476190476191,0.5796568627450981,0.5612244897959183,0.673469387755102,0.6346153846153846,0.5634114007954043,0.5,0.7692307692307693
160,0.5850340136054422,0.5849571858366119,0.527125850340136,0.6394557823129252,0.5769230769230769,0.519327731092437,0.4423076923076923,0.7115384615384616
170,0.5850340136054422,0.5849571858366119,0.5272108843537415,0.6429421768707483,0.5961538461538461,0.5594997983057685,0.46153846153846156,0.7307692307692307
180,0.5782312925170068,0.5782117734172528,0.5238095238095238,0.6292517006802721,0.6153846153846154,0.5486111111111112,0.4807692307692308,0.75
190,0.5850340136054422,0.5850340136054422,0.5272108843537415,0.6428571428571429,0.6153846153846154,0.5630252100840336,0.4807692307692308,0.75
200,0.564625850340136,0.5641215715344701,0.5102040816326531,0.6224489795918368,0.5576923076923077,0.5282051282051282,0.4230769230769231,0.6730769230769231
210,0.6020408163265306,0.5534293169927428,0.5476190476190477,0.6598639455782312,0.6730769230769231,0.5935632183908046,0.5384615384615384,0.7884615384615384
multirc_aave,,,,,,
Batch,Val Accuracy,Val F1,Val CI Lower,Val CI Upper,Test Accuracy,Test F1,Test CI Lower,Test CI Upper
10,0.6666666666666666,0.6659090909090909,0.6155612244897959,0.7210884353741497,0.5769230769230769,0.553125,0.46105769230769234,0.7115384615384616
20,0.6598639455782312,0.6527777777777777,0.6054421768707483,0.7108843537414966,0.5769230769230769,0.519327731092437,0.4423076923076923,0.7115384615384616
30,0.6564625850340136,0.6555659950586352,0.6054421768707483,0.7074829931972789,0.5961538461538461,0.5772357723577235,0.48028846153846155,0.7115384615384616
40,0.6598639455782312,0.650549137070318,0.6054421768707483,0.7143707482993197,0.5769230769230769,0.48468468468468473,0.4423076923076923,0.7115384615384616
50,0.6564625850340136,0.6564586105165731,0.6054421768707483,0.7074829931972789,0.5769230769230769,0.5666666666666667,0.4423076923076923,0.7115384615384616
60,0.6564625850340136,0.6458042583646448,0.6020408163265306,0.7108843537414966,0.5384615384615384,0.4135338345864662,0.40384615384615385,0.6730769230769231
70,0.6496598639455783,0.6378920683511307,0.5986394557823129,0.7074829931972789,0.5769230769230769,0.4358974358974359,0.4423076923076923,0.7115384615384616
80,0.6394557823129252,0.637779534148496,0.5816326530612245,0.6938775510204082,0.5961538461538461,0.5948051948051948,0.46153846153846156,0.7307692307692307
90,0.6666666666666666,0.6590295857988165,0.6122448979591837,0.7244897959183674,0.5576923076923077,0.47149801148917364,0.4230769230769231,0.6923076923076923
100,0.6666666666666666,0.6636155606407322,0.6121598639455782,0.717687074829932,0.5769230769230769,0.5326797385620915,0.4423076923076923,0.7115384615384616
110,0.6598639455782312,0.6534490074968173,0.6054421768707483,0.7108843537414966,0.5769230769230769,0.5034722222222222,0.4423076923076923,0.7120192307692303
120,0.6768707482993197,0.676237727056696,0.6224489795918368,0.7312925170068028,0.5384615384615384,0.5207373271889401,0.40384615384615385,0.6543269230769226
130,0.6496598639455783,0.6349587125549997,0.5985544217687074,0.7074829931972789,0.5961538461538461,0.44708860759493674,0.46153846153846156,0.7307692307692307
140,0.673469387755102,0.6704805491990846,0.6156462585034014,0.7278911564625851,0.5,0.4477124183006536,0.36538461538461536,0.6346153846153846
150,0.6666666666666666,0.6659090909090909,0.6122448979591837,0.717687074829932,0.4807692307692308,0.4461538461538462,0.34615384615384615,0.6153846153846154
160,0.6564625850340136,0.6474527170622247,0.6053571428571428,0.7108843537414966,0.6153846153846154,0.5315315315315315,0.4807692307692308,0.75
170,0.6496598639455783,0.649168742397034,0.5918367346938775,0.7040816326530612,0.4423076923076923,0.42508577964163174,0.3076923076923077,0.5769230769230769
180,0.6666666666666666,0.6590295857988165,0.6122448979591837,0.717687074829932,0.5576923076923077,0.489543320529236,0.40384615384615385,0.6923076923076923
190,0.6564625850340136,0.6503091326620738,0.6054421768707483,0.7142857142857143,0.5576923076923077,0.489543320529236,0.4230769230769231,0.6923076923076923
200,0.6666666666666666,0.6626703507703835,0.6156462585034014,0.7244897959183674,0.4807692307692308,0.4461538461538462,0.34615384615384615,0.6153846153846154
210,0.6530612244897959,0.6498855835240274,0.6020408163265306,0.7074829931972789,0.4423076923076923,0.41618273325590394,0.3076923076923077,0.5769230769230769
copa_sae,,,,,,
Batch,Val Accuracy,Val CI Lower,Val CI Upper,Test Accuracy,Test CI Lower,Test CI Upper
10,0.45,0.384875,0.52,0.5,0.4,0.6
20,0.44,0.375,0.5101249999999999,0.54,0.45,0.63
30,0.43,0.365,0.495,0.5,0.41,0.6
40,0.415,0.35,0.48,0.54,0.45,0.64
50,0.45,0.384875,0.52,0.48,0.38975000000000004,0.58
60,0.42,0.35,0.49,0.53,0.44,0.63
70,0.415,0.349875,0.49,0.51,0.41,0.61
80,0.435,0.365,0.505,0.48,0.39,0.58
90,0.42,0.35,0.49,0.51,0.41,0.61
100,0.41,0.34,0.48,0.54,0.44,0.64
110,0.42,0.35,0.48512499999999986,0.52,0.42,0.6202499999999997
120,0.41,0.345,0.48,0.55,0.45,0.64
130,0.415,0.345,0.485,0.5,0.4,0.6
140,0.425,0.36,0.495,0.53,0.43,0.63
150,0.405,0.34,0.475,0.54,0.44,0.6302499999999998
160,0.425,0.36,0.495,0.51,0.42,0.61
170,0.42,0.35,0.48512499999999986,0.56,0.45,0.6502499999999998
180,0.42,0.355,0.485,0.5,0.4,0.6
190,0.42,0.355,0.485,0.52,0.42,0.62
200,0.42,0.35,0.48512499999999986,0.45,0.36,0.55
210,0.37,0.3,0.435,0.54,0.44975000000000004,0.64
220,0.425,0.35,0.495,0.43,0.34,0.53
copa_aave,,,,,,
Batch,Val Accuracy,Val CI Lower,Val CI Upper,Test Accuracy,Test CI Lower,Test CI Upper
10,0.57,0.505,0.6401249999999999,0.57,0.47,0.66
20,0.575,0.504875,0.6401249999999999,0.56,0.46,0.6502499999999998
30,0.535,0.465,0.6,0.56,0.46,0.66
40,0.54,0.479875,0.61,0.56,0.46975,0.66
50,0.555,0.485,0.625,0.55,0.45,0.65
60,0.51,0.445,0.5751249999999999,0.56,0.47,0.66
70,0.54,0.47,0.61,0.55,0.45,0.65
80,0.525,0.45987500000000003,0.595,0.56,0.46,0.6602499999999998
90,0.54,0.47,0.605,0.54,0.45,0.64
100,0.545,0.48,0.615,0.57,0.47,0.66
110,0.51,0.445,0.575,0.56,0.46,0.66
120,0.52,0.445,0.585,0.52,0.42,0.61
130,0.51,0.44,0.5801249999999999,0.55,0.45,0.65
140,0.55,0.48,0.62,0.5,0.4,0.6
150,0.515,0.445,0.585,0.5,0.4,0.6
160,0.515,0.45,0.58,0.57,0.48,0.67
170,0.53,0.46487500000000004,0.6,0.56,0.45,0.65
180,0.505,0.434875,0.575,0.52,0.42,0.62
190,0.51,0.44,0.585,0.56,0.46,0.66
200,0.465,0.4,0.535,0.51,0.41975,0.6102499999999997
210,0.47,0.395,0.545,0.49,0.39,0.59
220,0.495,0.425,0.565,0.51,0.41,0.6002499999999997

